Játékos;Szezon;Csapat;G;Min;PTS;FG made;FG att.;FG%;3P made;3P att.;3P%;EFG%;FT made;FT att.;FT%;TS%;ORB;DRB;TRB;AST;TOV;STL;BLK;PF;GmSc;USG%;PTS Prod;ORTG;DRTG
Stefan POT;2023-24;Falco KC;10;219;129;39;76;0.513;14;30;0.467;0.605;37;43;0.860;0.559;10;40;50;50;20;5;0;27;117;24.7;144;136;92
TÓTH Ádám;2023-24;ZTE;11;219;92;36;74;0.486;2;4;0.500;0.500;18;28;0.643;0.486;20;17;37;11;8;3;3;29;63;20.8;90;112;128
Danilo OSTOJIĆ;2024-25;DEAC;8;218;92;33;57;0.579;2;10;0.200;0.596;24;29;0.828;0.541;14;46;60;20;15;1;3;17;82;17.8;93;123;108
Đorđe DRENOVAC;2024-25;DEAC;8;218;114;43;102;0.422;5;28;0.179;0.446;23;30;0.767;0.440;10;19;29;9;14;4;0;11;62;27.2;100;97;113
PERL Zoltán;2023-24;Falco KC;10;217;204;72;111;0.649;14;29;0.483;0.712;46;51;0.902;0.694;11;21;32;35;13;9;2;10;185;31.7;180;152;95
TAKÁCS Martin;2024-25;ZTE;11;215;45;15;47;0.319;3;12;0.250;0.351;12;18;0.667;0.346;15;17;32;23;10;10;0;22;39;14.7;59;96;113
Jalen HENRY;2023-24;Bp. Honvéd;8;210;108;40;81;0.494;12;25;0.480;0.568;16;27;0.593;0.509;14;37;51;7;13;2;8;23;74;23.3;86;105;106
KELLER Ákos;2023-24;Falco KC;10;210;66;24;45;0.533;6;15;0.400;0.600;12;24;0.500;0.525;15;37;52;14;7;5;9;23;66;14.0;67;124;88
KELLER Ákos;2024-25;Falco KC;10;209;85;30;53;0.566;5;17;0.294;0.613;20;33;0.606;0.575;19;41;60;7;6;4;5;24;77;16.6;78;129;111
TAKÁCS Milán;2024-25;ZTE;11;208;60;23;47;0.489;5;18;0.278;0.543;9;14;0.643;0.489;3;13;16;14;8;4;0;22;37;14.3;55;106;117
Isiah BROWN;2023-24;Bp. Honvéd;8;207;123;40;95;0.421;10;26;0.385;0.474;33;36;0.917;0.480;5;18;23;27;17;3;0;23;76;28.5;117;109;110
Brandon GARRETT;2024-25;Sopron;10;204;91;34;70;0.486;0;11;0.000;0.486;23;35;0.657;0.470;16;30;46;14;11;6;1;31;64;21.7;92;110;114
Nemanja NIKOLIĆ;2023-24;NKA Pécs;8;204;88;28;59;0.475;8;29;0.276;0.542;24;31;0.774;0.459;5;32;37;27;23;4;1;18;62;21.7;90;105;108
Dayon GRIFFIN;2023-24;Sopron;7;203;104;36;81;0.444;15;42;0.357;0.537;17;24;0.708;0.457;1;24;25;17;22;6;3;18;58;25.9;89;95;120
Billy GARRETT;2024-25;ZTE;7;200;92;30;71;0.423;8;34;0.235;0.479;24;29;0.828;0.451;3;16;19;24;18;5;0;13;58;24.2;92;105;114
David NICHOLS;2023-24;Sopron;7;200;99;35;85;0.412;11;39;0.282;0.476;18;22;0.818;0.409;5;20;25;49;26;8;0;22;69;27.9;114;103;120
POLYÁK László;2022-23;DEAC;9;199;62;20;55;0.364;6;29;0.207;0.418;16;22;0.727;0.425;5;21;26;12;8;5;1;14;39;18.0;56;95;115
RÉVÉSZ Ádám;2022-23;Szolnok;11;199;95;41;69;0.594;1;11;0.091;0.601;12;20;0.600;0.572;16;33;49;24;5;3;3;27;87;20.1;95;131;107
Andre WESSON;2023-24;Bp. Honvéd;8;197;88;29;91;0.319;17;48;0.354;0.412;13;16;0.813;0.403;5;29;34;10;11;6;5;27;42;25.5;73;86;104
PALLAI Tamás;2024-25;Szolnok;10;194;100;34;66;0.515;20;45;0.444;0.667;12;15;0.800;0.627;3;9;12;13;7;8;2;26;72;18.8;78;132;114
Andre WILLIAMSON;2022-23;Szolnok;8;194;99;41;76;0.539;1;8;0.125;0.546;16;25;0.640;0.499;14;36;50;13;12;6;3;20;76;24.6;92;112;109
DURÁZI Krisztofer;2024-25;Körmend;7;193;110;36;71;0.507;9;25;0.360;0.570;29;43;0.674;0.554;6;18;24;7;9;5;0;16;73;24.2;93;115;126
Tadija TADIĆ;2023-24;DEAC;9;193;94;28;66;0.424;14;31;0.452;0.530;24;30;0.800;0.477;4;25;29;25;19;11;1;26;67;25.3;95;108;112
Kahlil DUKES;2024-25;Atomerőmű SE;8;192;85;35;61;0.574;10;18;0.556;0.656;5;8;0.625;0.496;2;9;11;31;21;6;0;17;59;20.8;88;111;116
Marvin CLARK;2024-25;Falco KC;9;191;92;35;67;0.522;16;39;0.410;0.642;6;7;0.857;0.604;0;13;13;11;6;3;0;28;56;18.8;72;129;122
MOLNÁR Márton;2024-25;Sopron;10;190;83;41;76;0.539;0;4;0.000;0.539;1;2;0.500;0.478;20;28;48;5;10;0;2;27;52;20.9;77;107;115
Ilija ĐOKOVIĆ;2023-24;Bp. Honvéd;8;190;76;24;76;0.316;12;54;0.222;0.395;16;20;0.800;0.358;3;16;19;37;21;8;0;20;43;25.7;84;90;108
PONGÓ Máté;2023-24;Szolnok;11;188;84;29;56;0.518;18;32;0.563;0.679;8;11;0.727;0.600;3;25;28;33;9;8;1;22;79;17.2;79;130;114
L.G. GILL;2023-24;Sopron;7;188;79;34;64;0.531;6;16;0.375;0.578;5;9;0.556;0.526;14;24;38;3;7;1;2;10;57;18.5;66;112;122
PONGÓ Marcell;2023-24;Falco KC;10;188;78;27;65;0.415;18;43;0.419;0.554;6;13;0.462;0.449;8;33;41;36;16;12;0;25;67;21.7;87;113;87
POLSTER Attila;2022-23;ZTE;12;187;22;8;30;0.267;6;23;0.261;0.367;0;0;;0.333;5;6;11;2;3;3;0;23;2;8.3;21;79;129
NÉMETH Ákos;2023-24;ZTE;11;186;58;22;52;0.423;2;16;0.125;0.442;12;13;0.923;0.427;6;18;24;16;10;7;0;12;43;17.6;56;98;125
Jordan WALKER;2023-24;NKA Pécs;8;184;95;32;77;0.416;11;36;0.306;0.487;20;28;0.714;0.454;4;15;19;24;15;10;1;20;63;26.3;91;105;107
TÓTH Ádám;2024-25;ZTE;10;181;82;37;61;0.607;1;5;0.200;0.615;7;12;0.583;0.498;15;13;28;3;16;6;0;30;47;21.9;66;100;116
Anthony DURHAM;2023-24;Szolnok;11;179;77;27;69;0.391;12;37;0.324;0.478;11;14;0.786;0.441;8;20;28;18;12;7;3;24;50;22.5;72;100;114
KOVÁCS Ákos;2024-25;DEAC;8;176;81;34;60;0.567;0;6;0.000;0.567;13;23;0.565;0.510;10;25;35;4;9;9;7;21;62;20.6;70;109;103
Trey DIGGS;2024-25;Falco KC;10;176;97;34;71;0.479;26;56;0.464;0.662;3;4;0.750;0.657;6;15;21;8;1;6;0;18;73;19.7;73;139;116
Danilo OSTOJIĆ;2023-24;ZTE;8;175;84;31;58;0.534;2;7;0.286;0.552;20;25;0.800;0.530;20;35;55;12;10;5;2;11;79;22.2;85;121;114
KRIVACSEVICS Markó;2024-25;Alba Fehérvár;9;172;60;27;37;0.730;0;0;;0.730;6;15;0.400;0.591;28;26;54;7;7;6;5;26;66;13.6;67;136;127
PONGÓ Máté;2024-25;DEAC;8;172;72;27;50;0.540;14;27;0.519;0.680;4;4;1.000;0.516;7;24;31;37;18;9;0;13;72;18.5;80;120;107
KOVÁCS Péter;2023-24;NKA Pécs;8;170;55;22;57;0.386;9;29;0.310;0.465;2;3;0.667;0.380;2;10;12;11;14;7;0;21;20;19.7;49;83;108
Lovro BULJEVIĆ;2023-24;DEAC;9;170;40;11;32;0.344;1;5;0.200;0.359;17;26;0.654;0.402;14;37;51;4;6;2;7;25;33;14.5;45;101;110
TAKÁCS Kristóf;2024-25;Sopron;9;169;73;26;59;0.441;3;12;0.250;0.466;18;28;0.643;0.447;15;26;41;19;10;6;1;21;58;22.0;80;111;115
Aleksa NOVAKOVIĆ;2024-25;Falco KC;10;168;65;25;50;0.500;10;25;0.400;0.600;5;6;0.833;0.527;6;17;23;8;9;3;1;21;41;17.2;54;112;114
TAKÁCS Norbert;2022-23;Sopron;8;168;55;19;37;0.514;17;34;0.500;0.743;0;0;;0.671;3;6;9;10;4;3;1;9;44;11.9;45;136;130
Jaka KLOBUČAR;2022-23;Kecskemét;6;167;58;20;54;0.370;7;34;0.206;0.435;11;13;0.846;0.409;4;23;27;26;11;11;0;11;51;20.9;66;102;113
SZALAY Domonkos;2023-24;ZTE;11;166;44;14;28;0.500;5;13;0.385;0.589;11;17;0.647;0.493;6;12;18;8;9;5;0;24;27;12.9;40;105;129
NÉMETH Ákos;2024-25;Alba Fehérvár;9;165;28;11;24;0.458;2;5;0.400;0.500;4;6;0.667;0.471;6;14;20;12;3;4;1;20;25;8.3;32;118;133
NEUWIRTH Bence;2023-24;DEAC;9;165;46;16;35;0.457;14;28;0.500;0.657;0;0;;0.561;1;10;11;3;6;8;0;26;25;12.3;37;111;114
SCHERER Bálint;2023-24;NKA Pécs;8;165;52;19;39;0.487;12;28;0.429;0.641;2;4;0.500;0.607;4;14;18;6;2;3;1;21;36;12.0;39;123;109
Auston BARNES;2022-23;Szolnok;7;163;53;19;41;0.463;3;10;0.300;0.500;12;13;0.923;0.554;12;18;30;4;1;3;0;16;44;14.2;49;126;114
FILIPOVICS Stefan;2023-24;Bp. Honvéd;8;163;63;24;50;0.480;1;4;0.250;0.490;14;22;0.636;0.457;13;21;34;8;9;4;2;29;40;19.5;59;103;107
PALLAI Tamás;2023-24;Szolnok;11;163;65;22;42;0.524;18;31;0.581;0.738;3;3;1.000;0.717;4;19;23;14;2;3;2;22;56;12.8;49;141;117
Arsenije VUČKOVIĆ;2024-25;Körmend;7;162;75;27;63;0.429;2;9;0.222;0.444;19;31;0.613;0.441;12;30;42;4;8;2;3;16;47;25.0;70;98;118
TÓTH Barna;2022-23;Kecskemét;10;159;46;16;45;0.356;7;26;0.269;0.433;7;8;0.875;0.455;4;9;13;8;2;1;0;20;23;15.6;42;103;125
KRNJAJSZKI Borisz;2024-25;Szolnok;10;158;53;22;39;0.564;9;17;0.529;0.679;0;5;0.000;0.599;3;9;12;21;3;1;1;23;42;12.8;52;136;117
Antonio JORDANO;2023-24;Falco KC;9;158;66;21;56;0.375;18;47;0.383;0.536;6;9;0.667;0.515;4;8;12;5;4;5;0;18;37;19.2;50;106;96
DOKTOR Péter;2024-25;Körmend;8;157;42;16;40;0.400;6;18;0.333;0.475;4;6;0.667;0.370;4;8;12;24;14;10;0;24;28;17.1;48;89;121
RUDNER Gábor;2022-23;Szolnok;9;157;53;17;39;0.436;14;33;0.424;0.615;5;6;0.833;0.533;5;10;15;6;8;4;0;21;30;15.2;44;108;114
KERPEL-FRONIUS Gáspár;2023-24;NKA Pécs;8;157;52;20;33;0.606;5;9;0.556;0.682;7;14;0.500;0.517;7;15;22;23;11;13;1;14;57;14.8;54;117;101
KISS Mátyás;2024-25;Körmend;8;156;26;7;34;0.206;6;27;0.222;0.294;6;13;0.462;0.272;1;13;14;16;8;9;0;21;11;14.5;30;70;122
MOLNÁR Márton;2023-24;Sopron;7;153;59;24;40;0.600;0;0;;0.600;11;14;0.786;0.575;20;25;45;11;5;3;6;17;64;15.5;61;135;118
BAZSÓ Brúnó;2023-24;Bp. Honvéd;8;153;23;6;20;0.300;2;11;0.182;0.350;9;11;0.818;0.443;1;21;22;8;1;5;0;18;20;7.8;23;109;104
IVKOVICS Milán;2022-23;Kecskemét;8;152;41;14;48;0.292;10;38;0.263;0.396;3;3;1.000;0.384;4;20;24;5;4;5;1;16;21;17.1;34;82;118
TÓTH Ádám;2022-23;DEAC;8;150;60;26;53;0.491;1;3;0.333;0.500;7;12;0.583;0.439;18;12;30;11;10;5;1;20;43;22.2;60;103;113
Cheikh Mbacke DIONG;2022-23;Alba Fehérvár;10;146;80;35;41;0.854;0;0;;0.854;10;22;0.455;0.646;18;23;41;4;11;2;5;17;71;20.2;63;127;106
KOVÁCS Benedek;2023-24;Falco KC;10;146;39;13;30;0.433;7;17;0.412;0.550;6;8;0.750;0.533;7;16;23;4;3;4;0;18;29;11.8;34;118;91
Marko RADOVANOVIĆ;2024-25;Szolnok;10;144;61;22;41;0.537;2;9;0.222;0.561;15;19;0.789;0.530;5;31;36;6;8;5;9;33;47;18.3;53;117;103
TANOH DEZ András;2023-24;Falco KC;10;144;49;15;32;0.469;6;15;0.400;0.563;13;19;0.684;0.494;2;10;12;12;9;7;2;19;35;16.1;45;109;92
CSENDES Péter;2023-24;Sopron;7;143;30;10;32;0.313;6;23;0.261;0.406;4;4;1.000;0.397;2;13;15;8;4;4;0;12;18;12.2;28;94;122
KUCSERA Dániel;2022-23;Kecskemét;5;142;45;17;38;0.447;10;26;0.385;0.579;1;3;0.333;0.485;3;10;13;11;7;7;1;17;31;16.1;39;101;117
NÉMETH Ákos;2022-23;ZTE;12;141;32;12;25;0.480;0;2;0.000;0.480;8;17;0.471;0.367;7;21;28;7;11;4;1;21;17;14.5;32;85;122
ZSÍROS Péter;2022-23;ZTE;12;141;34;13;40;0.325;8;31;0.258;0.425;0;0;;0.395;5;10;15;2;3;2;0;11;14;14.3;27;81;127
Isaiah PHILMORE;2024-25;Alba Fehérvár;4;139;42;15;29;0.517;3;11;0.273;0.569;9;10;0.900;0.545;7;16;23;10;5;3;0;10;38;13.4;45;129;139
TAKÁCS Kristóf;2022-23;Körmend;13;139;32;11;18;0.611;1;5;0.200;0.639;9;13;0.692;0.502;3;6;9;7;8;6;1;24;20;11.1;30;106;117
HAJDU Péter;2023-24;Bp. Honvéd;8;139;27;10;26;0.385;7;22;0.318;0.519;0;0;;0.450;4;12;16;3;4;6;1;30;12;9.9;15;73;109
SZALAY Domonkos;2024-25;ZTE;9;136;32;10;28;0.357;4;13;0.308;0.429;8;10;0.800;0.427;0;10;10;10;5;4;0;23;15;13.4;32;98;121
SUPOLA Zoltán;2022-23;Sopron;10;135;39;14;43;0.326;7;25;0.280;0.407;4;4;1.000;0.362;3;20;23;10;9;5;0;13;20;19.3;36;80;113
Anthony ROBERTS;2023-24;Alba Fehérvár;6;135;88;31;63;0.492;7;17;0.412;0.548;19;23;0.826;0.534;0;10;10;10;9;4;3;17;55;28.6;77;115;117
CSÁTALJAY Péter;2023-24;ZTE;11;135;24;10;29;0.345;4;13;0.308;0.414;0;2;0.000;0.344;4;9;13;10;5;3;0;22;9;12.4;24;81;126
GARAMVÖLGYI Ákos;2023-24;DEAC;8;134;25;9;28;0.321;4;16;0.250;0.393;3;4;0.750;0.393;8;14;22;0;2;3;1;9;17;11.8;22;85;116
MÓCSÁN Bálint;2022-23;DEAC;5;133;48;15;49;0.306;8;23;0.348;0.388;10;11;0.909;0.394;2;15;17;18;7;4;1;13;30;23.6;51;93;119
SIMON Kristóf;2023-24;Bp. Honvéd;7;128;38;13;33;0.394;9;21;0.429;0.530;3;6;0.500;0.375;5;21;26;21;15;3;0;20;23;18.3;41;89;112
BALOGH Máté;2023-24;Alba Fehérvár;10;128;19;8;25;0.320;2;12;0.167;0.360;1;4;0.250;0.308;7;13;20;5;4;2;2;25;5;11.1;23;86;114
HALMAI Dániel;2024-25;Atomerőmű SE;12;127;26;8;18;0.444;3;7;0.429;0.528;7;10;0.700;0.377;3;13;16;15;12;7;0;34;13;12.6;31;98;106
Amadou SIDIBÉ;2023-24;Sopron;6;127;73;27;55;0.491;7;14;0.500;0.555;12;14;0.857;0.527;5;17;22;6;8;1;0;12;46;25.6;61;110;126
CSENDES Péter;2022-23;Sopron;7;124;44;16;34;0.471;12;27;0.444;0.647;0;0;;0.478;3;10;13;6;12;0;0;13;19;17.9;34;90;120
RÉVÉSZ Ádám;2024-25;Atomerőmű SE;8;123;35;14;22;0.636;3;7;0.429;0.705;4;5;0.800;0.598;8;15;23;5;5;3;0;15;30;10.9;33;133;106
Boris BARAĆ;2023-24;Falco KC;8;121;49;18;30;0.600;2;4;0.500;0.633;11;16;0.688;0.581;7;30;37;10;5;1;1;12;46;16.3;46;131;96
Shane HENRY;2023-24;NKA Pécs;8;120;57;23;41;0.561;0;1;0.000;0.561;11;15;0.733;0.573;21;27;48;5;2;5;6;18;62;19.2;55;135;96
MESZLÉNYI Róbert;2023-24;Sopron;7;118;11;3;23;0.130;1;17;0.059;0.152;4;8;0.500;0.192;2;12;14;10;2;7;0;16;5;11.2;16;68;119
KUCSERA Dániel;2024-25;Sopron;5;114;30;9;17;0.529;2;9;0.222;0.588;10;11;0.909;0.626;2;5;7;5;2;6;3;18;27;10.0;28;138;112
KISS Dávid;2022-23;Kecskemét;10;114;40;16;22;0.727;0;0;;0.727;8;10;0.800;0.635;8;19;27;1;5;0;6;25;31;13.5;31;127;119
KASS Balázs;2023-24;Alba Fehérvár;10;114;21;7;23;0.304;3;17;0.176;0.370;4;7;0.571;0.348;3;6;9;9;4;3;1;21;8;12.2;25;97;111
MÓCSÁN Bálint;2024-25;DEAC;5;113;48;15;44;0.341;11;31;0.355;0.466;7;7;1.000;0.443;1;8;9;12;7;5;0;9;29;22.2;46;102;113
Andre JONES;2022-23;Sopron;4;112;59;23;46;0.500;7;16;0.438;0.576;6;8;0.750;0.531;2;9;11;9;6;2;2;10;39;24.2;52;115;128
CSENDES Péter;2024-25;Sopron;9;110;37;14;32;0.438;9;23;0.391;0.578;0;0;;0.451;3;4;7;11;9;2;1;11;21;17.1;32;94;123
NEUWIRTH Bence;2022-23;DEAC;8;109;19;6;22;0.273;4;16;0.250;0.364;3;4;0.750;0.354;1;8;9;5;3;4;0;16;7;12.0;18;84;112
GARAMVÖLGYI Ákos;2022-23;DEAC;7;109;30;12;31;0.387;2;6;0.333;0.419;4;10;0.400;0.411;6;12;18;2;1;1;0;11;16;16.6;27;94;118
HŐGYE Patrik;2024-25;DEAC;7;106;34;14;31;0.452;4;10;0.400;0.516;2;4;0.500;0.427;6;10;16;9;7;6;1;18;23;17.0;33;99;108
KRIVACSEVICS Markó;2023-24;Falco KC;10;106;32;14;35;0.400;0;0;;0.400;4;11;0.364;0.334;15;21;36;7;8;1;2;25;16;21.2;40;94;89
RÉVÉSZ Ádám;2023-24;Szolnok;10;106;26;9;23;0.391;0;2;0.000;0.391;8;11;0.727;0.395;13;7;20;9;5;2;1;27;17;14.4;35;111;118
TAKÁCS Milán;2023-24;Alba Fehérvár;9;105;20;8;19;0.421;4;13;0.308;0.526;0;0;;0.476;7;7;14;12;2;4;0;22;19;9.2;28;136;108
RUDNER Gábor;2024-25;Szolnok;8;102;19;7;22;0.318;4;16;0.250;0.409;1;2;0.500;0.397;5;8;13;4;1;3;0;15;11;10.7;20;108;113
