Játékos;Szezon;Csapat;G;Min;PTS;FG made;FG att.;FG%;3P made;3P att.;3P%;EFG%;FT made;FT att.;FT%;TS%;ORB;DRB;TRB;AST;TOV;STL;BLK;PF;GmSc;USG%;PTS Prod;ORTG;DRTG
Juwan DURHAM;2022-23;Sopron;5;101;53;23;34;0.676;0;3;0.000;0.676;7;12;0.583;0.584;5;15;20;10;6;5;2;18;45;21.7;49;128;116
TAKÁCS Milán;2022-23;Alba Fehérvár;11;101;13;5;18;0.278;3;11;0.273;0.361;0;0;;0.325;5;5;10;5;2;5;0;17;7;9.5;12;78;109
RUDNER Gábor;2023-24;Szolnok;11;99;26;9;29;0.310;5;20;0.250;0.397;3;8;0.375;0.355;2;3;5;6;4;3;0;25;3;17.0;24;84;117
FAZEKAS Csaba;2023-24;Sopron;6;98;27;10;27;0.370;4;16;0.250;0.444;3;5;0.600;0.353;2;4;6;11;9;3;0;11;11;18.1;28;84;119
KISS Mátyás;2022-23;Körmend;11;97;38;14;21;0.667;10;17;0.588;0.905;0;0;;0.704;3;5;8;1;6;3;0;19;23;13.2;23;116;115
SÖVEGJÁRTÓ Ábel;2022-23;Falco KC;11;96;20;9;24;0.375;2;16;0.125;0.417;0;0;;0.385;3;5;8;5;2;1;0;22;4;13.2;20;97;107
KOVÁCS Ákos;2022-23;DEAC;6;94;20;7;19;0.368;1;6;0.167;0.395;5;9;0.556;0.357;6;9;15;4;5;2;0;9;11;14.6;20;84;116
DOKTOR Péter;2022-23;Körmend;10;94;28;10;20;0.500;3;11;0.273;0.575;5;7;0.714;0.480;2;6;8;15;6;5;0;13;25;15.2;34;117;125
GARAMVÖLGYI Ákos;2024-25;DEAC;8;93;22;8;26;0.308;4;15;0.267;0.385;2;2;1.000;0.345;8;15;23;10;5;4;0;5;21;15.7;29;97;105
KENÉZ Csaba;2022-23;DEAC;6;92;23;10;23;0.435;3;8;0.375;0.500;0;0;;0.442;4;7;11;12;3;3;0;16;18;13.5;24;109;109
FLASÁR Zalán;2024-25;Sopron;7;90;42;16;22;0.727;0;0;;0.727;10;15;0.667;0.661;11;13;24;3;3;2;1;19;37;15.7;40;147;121
DOROGI Gergő;2024-25;Atomerőmű SE;12;90;17;6;15;0.400;1;7;0.143;0.433;4;8;0.500;0.434;5;7;12;1;1;2;2;14;10;10.1;16;100;108
VALERIO-BODON Vincent;2022-23;Sopron;4;90;22;9;22;0.409;4;14;0.286;0.500;0;0;;0.423;0;8;8;7;4;0;2;4;13;14.1;21;98;131
CSIZMADIA Attila;2024-25;ZTE;8;89;14;6;11;0.545;2;5;0.400;0.636;0;2;0.000;0.470;4;18;22;1;3;2;1;4;15;8.2;13;98;117
SCHÖLL Richárd;2022-23;Sopron;6;89;22;11;20;0.550;0;1;0.000;0.550;0;3;0.000;0.492;4;9;13;7;1;0;1;11;17;12.2;22;114;122
Andre WILLIAMSON;2024-25;DEAC;3;88;36;14;28;0.500;3;13;0.231;0.554;5;10;0.500;0.554;8;13;21;2;0;1;0;8;29;18.1;35;126;117
SITKU Márton;2023-24;Sopron;7;81;33;10;23;0.435;5;15;0.333;0.543;8;10;0.800;0.524;5;11;16;2;4;3;3;12;25;18.0;26;108;114
FAZEKAS Máté;2024-25;Alba Fehérvár;6;79;27;12;23;0.522;1;6;0.167;0.543;2;5;0.400;0.478;5;10;15;3;3;5;0;11;21;16.2;26;108;126
CSUTI Kornél;2022-23;ZTE;11;79;32;13;20;0.650;0;1;0.000;0.650;6;8;0.750;0.625;2;3;5;1;2;1;1;21;17;15.2;18;112;127
Mike SCOTT;2022-23;DEAC;4;78;26;11;27;0.407;2;3;0.667;0.444;2;2;1.000;0.421;2;9;11;10;3;5;0;4;23;20.8;28;98;120
KISS Benedek;2024-25;Körmend;8;76;8;3;16;0.188;1;10;0.100;0.219;1;2;0.500;0.223;2;5;7;2;1;6;1;8;4;11.0;9;57;121
GÁSPÁR Mátyás;2022-23;DEAC;7;75;23;9;23;0.391;2;9;0.222;0.435;3;4;0.750;0.429;3;9;12;0;2;0;3;14;9;17.4;20;94;119
FAZEKAS Máté;2022-23;Kecskemét;10;74;29;11;25;0.440;5;14;0.357;0.540;2;2;1.000;0.520;3;3;6;3;2;1;1;7;18;18.5;24;109;123
KASS Balázs;2024-25;Alba Fehérvár;8;73;11;3;12;0.250;3;10;0.300;0.375;2;2;1.000;0.325;2;2;4;3;4;1;0;12;0;10.5;11;79;136
GÁSPÁR Mátyás;2024-25;Körmend;8;69;13;3;11;0.273;0;1;0.000;0.273;7;16;0.438;0.307;5;4;9;4;3;2;1;14;5;14.5;17;84;129
PERINGER Balázs;2023-24;Bp. Honvéd;6;69;13;6;15;0.400;0;0;;0.400;1;3;0.333;0.291;9;10;19;1;6;4;3;2;13;15.1;15;75;107
CZERMANN Patrik;2023-24;DEAC;5;68;18;9;17;0.529;0;0;;0.529;0;0;;0.450;6;7;13;1;3;0;0;13;9;14.8;19;103;123
REIZINGER Máté;2023-24;Bp. Honvéd;8;68;11;3;12;0.250;1;4;0.250;0.292;4;6;0.667;0.279;5;6;11;4;5;4;0;5;8;13.3;13;77;110
KOPÁCSI Ákos;2023-24;Bp. Honvéd;7;68;2;1;12;0.083;0;9;0.000;0.083;0;0;;0.053;5;5;10;3;7;3;0;11;-7;12.8;5;32;105
SZABÓ Zsolt;2022-23;Alba Fehérvár;7;66;16;5;12;0.417;0;2;0.000;0.417;6;6;1.000;0.479;5;10;15;3;2;3;1;8;17;12.0;18;119;103
KOVÁCS Benedek;2024-25;Falco KC;9;60;20;9;17;0.529;1;6;0.167;0.559;1;2;0.500;0.529;4;7;11;1;1;0;2;6;15;14.7;16;120;102
Rudi WILLIAMS;2024-25;Körmend;2;59;30;8;17;0.471;1;7;0.143;0.500;13;14;0.929;0.530;0;12;12;13;5;2;0;4;29;23.3;32;124;120
Anthony MATHIS;2023-24;Sopron;3;59;18;5;17;0.294;4;15;0.267;0.412;4;5;0.800;0.424;1;1;2;2;2;0;0;9;5;16.8;16;97;142
NEUWIRTH Bence;2024-25;DEAC;4;57;24;8;17;0.471;6;14;0.429;0.647;2;4;0.500;0.577;2;8;10;7;2;1;0;9;19;16.8;22;129;107
Jimmie TAYLOR;2022-23;DEAC;3;57;13;5;7;0.714;0;0;;0.714;3;6;0.500;0.556;2;4;6;0;2;2;1;7;9;11.0;11;112;125
FAZEKAS Csaba;2024-25;Sopron;7;55;25;9;17;0.529;7;11;0.636;0.735;0;2;0.000;0.698;3;1;4;2;0;1;0;2;20;15.1;17;135;126
KRIVACSEVICS Markó;2022-23;Falco KC;8;55;21;8;16;0.500;0;1;0.000;0.500;5;9;0.556;0.437;7;8;15;0;4;1;3;9;14;21.6;19;97;100
BALÁZSI Soma;2022-23;DEAC;4;52;15;6;10;0.600;2;6;0.333;0.700;1;1;1.000;0.602;3;3;6;1;2;0;0;3;11;11.6;9;107;119
VÁRSZEGI Ádám;2024-25;DEAC;4;49;15;6;14;0.429;3;10;0.300;0.536;0;0;;0.500;1;6;7;3;1;3;0;2;13;14.2;13;113;102
CSÁTALJAY Péter;2022-23;Sopron;5;49;11;2;10;0.200;2;8;0.250;0.300;5;6;0.833;0.374;1;4;5;0;2;0;0;8;1;14.6;10;81;123
SEBŐK András;2022-23;Szolnok;8;49;11;5;14;0.357;1;6;0.167;0.393;0;0;;0.324;4;5;9;2;3;2;0;9;4;16.5;9;68;107
HŐGYE Patrik;2023-24;DEAC;6;48;10;4;12;0.333;2;8;0.250;0.417;0;0;;0.417;4;4;8;3;0;2;0;9;8;12.3;8;93;114
CSUTI Kornél;2023-24;ZTE;9;42;14;6;16;0.375;1;6;0.167;0.406;1;2;0.500;0.391;4;4;8;0;1;1;1;4;8;20.4;-10;-164;132
CSÁTALJAY Péter;2024-25;ZTE;7;41;6;3;9;0.333;0;4;0.000;0.333;0;1;0.000;0.208;0;1;1;3;5;6;0;3;3;17.0;6;47;103
BOR Gábor;2023-24;NKA Pécs;6;38;18;7;10;0.700;0;3;0.000;0.700;4;5;0.800;0.735;0;7;7;5;0;1;0;5;18;14.8;17;164;101
GÉRINGER Gergő;2024-25;Atomerőmű SE;7;36;11;4;7;0.571;1;3;0.333;0.643;2;4;0.500;0.509;5;5;10;3;2;0;0;9;8;14.0;-322;241;103
SÁGODI Róbert;2022-23;DEAC;3;34;11;4;12;0.333;2;4;0.500;0.417;1;1;1.000;0.409;1;2;3;7;1;2;0;3;10;18.9;12;107;109
RÁTGÉBER Tamás;2023-24;NKA Pécs;3;30;4;0;7;0.000;0;3;0.000;0.000;4;4;1.000;0.204;0;2;2;6;1;3;0;5;4;15.5;7;84;82
HERGER Salamon;2023-24;NKA Pécs;2;30;6;3;6;0.500;0;0;;0.500;0;0;;0.500;1;1;2;1;0;1;1;5;4;9.5;6;114;127
GYIMES Áron;2023-24;ZTE;5;29;9;4;12;0.333;1;5;0.200;0.375;0;0;;0.321;0;1;1;0;2;1;0;1;1;23.0;5;52;141
GÁL Csongor;2024-25;DEAC;2;28;9;3;7;0.429;3;7;0.429;0.643;0;0;;0.643;0;3;3;1;0;1;0;4;6;11.1;7;129;103
CZERMANN Patrik;2024-25;DEAC;3;26;7;3;7;0.429;0;0;;0.429;1;2;0.500;0.443;2;3;5;0;0;0;0;9;2;13.5;7;108;106
FLASÁR Botond;2024-25;DEAC;4;26;17;6;9;0.667;2;3;0.667;0.778;3;4;0.750;0.616;0;3;3;1;3;0;1;3;11;23.0;10;106;111
KERTÉSZ Dávid;2024-25;Alba Fehérvár;5;25;5;2;6;0.333;1;2;0.500;0.417;0;0;;0.357;2;2;4;0;1;1;0;4;2;12.5;2;49;130
BALÁZSI Ákos;2024-25;DEAC;2;21;3;1;3;0.333;1;3;0.333;0.500;0;0;;0.375;0;1;1;3;1;0;0;4;1;8.8;5;107;108
GILSZKI Erik;2022-23;Szolnok;7;21;3;1;3;0.333;1;3;0.333;0.500;0;0;;0.500;0;0;0;0;0;0;0;3;0;6.8;0;28;111
SZALAY Domonkos;2022-23;ZTE;5;21;3;1;4;0.250;0;1;0.000;0.250;1;2;0.500;0.306;0;0;0;1;0;0;0;1;1;10.8;3;74;129
VÁRSZEGI Ádám;2023-24;DEAC;5;20;9;2;4;0.500;2;4;0.500;0.750;3;3;1.000;0.612;0;3;3;1;2;0;0;2;6;18.5;7;114;125
KOVÁCS Ákos;2024-25;Atomerőmű SE;2;19;6;2;7;0.286;2;5;0.400;0.429;0;0;;0.300;0;2;2;1;3;0;0;4;-1;24.8;5;59;109
BARTIK Zalán;2024-25;Körmend;2;19;3;1;5;0.200;1;5;0.200;0.300;0;0;;0.250;0;2;2;1;1;0;0;2;-1;14.3;3;60;131
ARABO Abraham;2022-23;Szolnok;4;19;6;3;5;0.600;0;0;;0.600;0;2;0.000;0.508;2;4;6;1;0;2;0;4;7;14.9;12;146;86
VINCZE Roland;2022-23;Szolnok;6;19;6;2;3;0.667;1;2;0.500;0.833;1;3;0.333;0.690;0;1;1;0;0;0;0;1;4;10.9;4;120;109
HERCZEG Kristóf;2022-23;Körmend;8;19;6;2;6;0.333;0;3;0.000;0.333;2;3;0.667;0.408;0;0;0;3;0;1;0;2;5;18.4;4;80;116
NAGY Péter;2024-25;Körmend;3;17;12;5;7;0.714;2;3;0.667;0.857;0;1;0.000;0.805;0;0;0;0;0;0;0;0;9;20.0;7;143;140
Zach BROWN;2022-23;Falco KC;1;17;7;2;6;0.333;1;4;0.250;0.417;2;2;1.000;0.393;1;1;2;3;2;1;0;3;5;25.4;8;106;93
VERASZTÓ Péter;2023-24;Falco KC;9;16;6;2;4;0.500;2;2;1.000;0.750;0;0;;0.750;0;0;0;2;0;1;0;2;6;11.8;5;164;93
FAZEKAS Máté;2023-24;Alba Fehérvár;3;16;6;3;6;0.500;0;1;0.000;0.500;0;0;;0.500;2;3;5;0;0;0;0;4;4;16.5;6;129;108
TAKÁCS Zsolt;2022-23;Falco KC;4;15;2;1;3;0.333;0;1;0.000;0.333;0;0;;0.333;0;5;5;0;0;1;0;1;2;9.8;2;77;84
SCHÖLL Richárd;2023-24;Sopron;4;15;0;0;3;0.000;0;0;;0.000;0;2;0.000;0.000;1;3;4;1;0;1;1;3;0;12.0;1;22;106
POLSTER Attila;2023-24;Sopron;4;15;0;0;4;0.000;0;4;0.000;0.000;0;0;;0.000;2;2;4;0;0;0;0;3;-2;12.1;1;31;120
TAKÁCS Martin;2023-24;Alba Fehérvár;5;14;2;1;2;0.500;0;0;;0.500;0;0;;0.333;0;1;1;1;1;1;0;0;2;9.7;2;82;103
SÖVEGJÁRTÓ Ábel;2024-25;Falco KC;6;12;3;1;3;0.333;1;2;0.500;0.500;0;0;;0.500;1;4;5;0;0;0;2;0;5;11.3;-1;-106;93
VERASZTÓ Péter;2024-25;Falco KC;7;12;3;1;5;0.200;1;2;0.500;0.300;0;0;;0.214;0;1;1;3;2;0;0;1;0;26.8;-3;-81;110
KUCSORA Csaba;2024-25;Atomerőmű SE;6;11;5;2;4;0.500;1;3;0.333;0.625;0;0;;0.625;0;1;1;0;0;0;0;4;2;17.1;3;114;112
SCHMERA Gergely;2024-25;Körmend;4;10;5;2;4;0.500;0;1;0.000;0.500;1;3;0.333;0.394;4;2;6;1;1;0;0;0;5;27.6;4;82;128
HORVÁTH Ákos;2024-25;Szolnok;6;10;1;0;6;0.000;0;5;0.000;0.000;1;2;0.500;0.063;0;2;2;2;1;0;0;2;-3;36.1;2;44;106
CZERMANN Patrik;2022-23;DEAC;2;10;4;2;4;0.500;0;0;;0.500;0;0;;0.500;1;3;4;1;0;0;0;1;4;18.8;3;111;104
ARNOLD Botond;2024-25;Atomerőmű SE;4;9;4;2;3;0.667;0;0;;0.667;0;0;;0.500;0;2;2;0;1;0;0;2;2;20.9;2;72;122
HORVÁTH Ádám;2022-23;Falco KC;3;9;0;0;1;0.000;0;1;0.000;0.000;0;0;;0.000;0;1;1;1;1;0;0;1;-1;10.9;1;33;100
FÁBIÁN Szabolcs;2022-23;DEAC;2;9;2;1;2;0.500;0;0;;0.500;0;0;;0.500;1;2;3;0;0;0;0;3;1;10.4;1;95;106
MAKKOS Dávid;2023-24;ZTE;3;9;5;2;2;1.000;1;1;1.000;1.250;0;0;;1.250;0;0;0;1;0;0;0;0;5;11.1;10;274;149
HEGEDÜS Brúnó;2023-24;DEAC;4;9;2;1;4;0.250;0;2;0.000;0.250;0;0;;0.250;0;0;0;0;0;0;0;1;-1;22.7;-1;-48;130
LADOS Erik;2023-24;NKA Pécs;3;8;0;0;2;0.000;0;0;;0.000;0;0;;0.000;0;0;0;0;1;0;0;1;-3;17.8;0;0;130
SZUGYICZKI Máté;2024-25;Szolnok;4;6;2;1;1;1.000;0;0;;1.000;0;0;;1.000;1;2;3;0;0;0;0;1;3;6.4;2;210;99
ARABO Abraham;2024-25;Szolnok;3;6;1;0;1;0.000;0;0;;0.000;1;2;0.500;0.172;2;2;4;0;1;1;0;1;2;18.5;2;72;85
SIMÓ Bence;2022-23;ZTE;2;6;5;2;4;0.500;0;0;;0.500;1;2;0.500;0.510;0;1;1;0;0;0;0;1;3;37.7;3;97;129
MELEG Gergő;2023-24;NKA Pécs;1;6;0;0;0;;0;0;;;0;0;;0.000;1;0;1;0;1;0;0;1;-1;7.8;1;56;120
SEBŐK András;2023-24;Szolnok;5;6;0;0;3;0.000;0;2;0.000;0.000;0;0;;0.000;0;0;0;1;0;0;0;0;-1;22.6;1;28;121
VÁMOS Ádám;2023-24;Bp. Honvéd;4;6;2;1;3;0.333;0;2;0.000;0.333;0;0;;0.333;0;0;0;0;0;0;0;0;0;23.1;0;9;105
KISS Benedek;2023-24;Alba Fehérvár;3;6;0;0;0;;0;0;;;0;0;;0.000;0;0;0;0;1;0;0;1;-1;7.5;0;0;117
KAZY Balázs;2023-24;NKA Pécs;2;6;3;1;2;0.500;1;1;1.000;0.750;0;0;;0.500;0;2;2;0;1;0;0;0;2;22.9;0;8;90
KELLER Bendegúz;2024-25;Sopron;3;5;2;1;1;1.000;0;0;;1.000;0;0;;1.000;0;1;1;1;0;0;0;0;3;8.1;2;205;115
HANSEN Dániel;2022-23;Falco KC;2;5;0;0;1;0.000;0;0;;0.000;0;0;;0.000;0;0;0;0;0;0;0;0;-1;9.9;0;0;108
TAKÁCS Martin;2022-23;Alba Fehérvár;2;5;0;0;1;0.000;0;0;;0.000;0;0;;0.000;0;1;1;2;0;0;0;0;1;8.9;1;112;97
BALSAY Ádám;2022-23;Alba Fehérvár;1;5;0;0;1;0.000;0;1;0.000;0.000;0;0;;0.000;0;0;0;1;0;0;0;1;0;8.7;1;67;107
KELLER Bendegúz;2022-23;Sopron;2;5;2;1;2;0.500;0;1;0.000;0.500;0;0;;0.500;0;1;1;0;0;0;0;0;1;19.9;9;173;125
HEGEDÜS Brúnó;2022-23;DEAC;1;5;2;1;2;0.500;0;0;;0.500;0;0;;0.500;1;2;3;1;0;0;0;0;3;18.9;2;131;97
ANGYAL Medárd;2023-24;NKA Pécs;1;5;2;1;1;1.000;0;0;;1.000;0;0;;1.000;0;0;0;0;0;0;0;0;2;9.0;1;200;123
HEGEDÜS Brúnó;2024-25;DEAC;1;4;2;1;1;1.000;0;0;;1.000;0;0;;0.500;0;0;0;0;1;0;0;1;0;22.5;1;73;109
BOTKA Botond;2022-23;Kecskemét;2;4;3;1;2;0.500;1;1;1.000;0.750;0;0;;0.500;0;0;0;0;1;0;0;1;1;34.9;-1;-56;134
GÓBI Marcell;2022-23;Alba Fehérvár;3;4;0;0;0;;0;0;;;0;0;;;0;0;0;0;0;0;0;2;-1;0.0;0;;106
GÓBI Marcell;2023-24;Alba Fehérvár;1;4;3;1;2;0.500;1;2;0.500;0.750;0;0;;0.750;0;0;0;0;0;0;0;1;2;22.7;2;155;116
KISS Dominik;2023-24;Szolnok;4;4;0;0;0;;0;0;;;0;0;;;0;1;1;0;0;0;0;1;0;0.0;0;;112
PERINGER Balázs;2024-25;Szolnok;3;3;0;0;0;;0;0;;;0;0;;;1;1;2;0;0;0;0;0;1;0.0;1;231;105
KOVÁCS Áron;2024-25;ZTE;4;3;2;1;1;1.000;0;0;;1.000;0;0;;1.000;1;0;1;0;0;0;0;0;2;15.1;5;202;132
SZILÁGYI Péter;2024-25;DEAC;1;3;0;0;1;0.000;0;1;0.000;0.000;0;0;;0.000;0;1;1;0;0;0;0;1;-1;13.5;0;0;104
TÓTH Patrik;2022-23;Kecskemét;2;3;0;0;0;;0;0;;;0;0;;;0;0;0;0;0;0;0;1;0;0.0;0;;134
LUKÁCSI Gábor;2023-24;NKA Pécs;1;3;0;0;2;0.000;0;1;0.000;0.000;0;0;;0.000;0;0;0;0;2;0;0;0;-3;59.7;0;0;123
KARDA Dominik;2023-24;Bp. Honvéd;1;3;0;0;0;;0;0;;;0;0;;;0;0;0;0;0;0;0;1;0;0.0;0;;113
KOVÁCS Áron;2024-25;Sopron;2;2;0;0;2;0.000;0;0;;0.000;0;0;;0.000;0;1;1;0;0;0;1;0;0;33.7;0;0;87
KÉKESI Kolos;2024-25;Atomerőmű SE;1;2;0;0;0;;0;0;;;0;0;;;0;0;0;2;0;0;0;0;1;0.0;1;232;108
VELKEY Géza;2022-23;Kecskemét;1;2;0;0;2;0.000;0;2;0.000;0.000;0;0;;0.000;0;0;0;0;0;0;0;0;-1;45.0;0;0;142
TÓTH Balázs;2022-23;Kecskemét;1;2;2;1;1;1.000;0;0;;1.000;0;0;;1.000;0;0;0;0;0;0;0;0;2;25.2;1;200;119
BALOGH Máté;2022-23;Körmend;2;2;0;0;0;;0;0;;;0;0;;;0;0;0;0;0;0;0;0;0;0.0;0;;132
TAKÁCS Erik;2022-23;Kecskemét;1;2;3;1;1;1.000;1;1;1.000;1.500;0;0;;1.500;0;0;0;0;0;0;0;2;2;24.1;-1;300;126
GERÖLY Márton;2022-23;Körmend;1;2;0;0;2;0.000;0;2;0.000;0.000;0;0;;0.000;0;0;0;0;0;0;0;0;-1;46.3;0;0;144
HIBJÁN Máté;2023-24;DEAC;1;2;0;0;1;0.000;0;1;0.000;0.000;0;0;;0.000;0;0;0;0;0;0;0;0;-1;26.1;0;0;137
OSZTOICS Milán;2024-25;Alba Fehérvár;1;1;0;0;0;;0;0;;;0;0;;;0;0;0;0;0;0;0;0;0;0.0;0;;139
PÁRKÁNYI Máté;2024-25;Alba Fehérvár;1;1;0;0;0;;0;0;;;0;0;;;0;1;1;0;0;0;0;0;0;0.0;0;;113
GADÁCSI Dávid;2022-23;Sopron;1;1;0;0;0;;0;0;;;0;0;;;0;0;0;0;0;0;0;0;0;0.0;0;;130
VINCZE Roland;2023-24;Szolnok;1;1;2;1;1;1.000;0;0;;1.000;0;0;;1.000;0;0;0;0;0;0;0;0;2;44.1;7;200;112